year,month,ndvi
2015,January,0.10718780010938644
2015,February,0.4334353804588318
2015,March,0.45186126232147217
2015,April,0.4815775752067566
2015,May,0.050121620297431946
2015,June,0.32252055406570435
2015,July,0.18634089827537537
2015,August,0.3226707875728607
2015,September,0.5237553715705872
2015,October,0.5420771837234497
2015,November,0.05414275452494621
2015,December,0.4335992634296417
2016,January,0.05273100733757019
2016,February,0.2859450876712799
2016,March,0.39029282331466675
2016,April,0.29664698243141174
2016,May,0.663494884967804
2016,June,0.6850046515464783
2016,July,0.0838112086057663
2016,August,0.5199052095413208
2016,September,0.32085081934928894
2016,October,0.36437365412712097
2016,November,0.049660373479127884
2016,December,0.2471204400062561
2017,January,0.09830716997385025
2017,February,0.10302628576755524
2017,March,0.05114362761378288
2017,April,0.1540268361568451
2017,May,0.7126369476318359
2017,June,0.6632662415504456
2017,July,0.5546228885650635
2017,August,0.13732165098190308
2017,September,0.3713635206222534
2017,October,0.3100917637348175
2017,November,0.0551079623401165
2017,December,0.1839476078748703
2018,January,0.07607407122850418
2018,February,0.48492932319641113
2018,March,0.2941397428512573
2018,April,0.4851946532726288
2018,May,0.7410930395126343
2018,June,0.11642614752054214
2018,July,0.44782373309135437
2018,August,0.32220038771629333
2018,September,0.30346742272377014
2018,October,0.20443212985992432
2018,November,0.0646987110376358
2018,December,0.07164982706308365
2019,January,0.13803736865520477
2019,February,0.41636085510253906
2019,March,0.06477512419223785
2019,April,0.6690279841423035
2019,May,0.43465369939804077
2019,June,0.5758450627326965
2019,July,0.3758012652397156
2019,August,0.3911382257938385
2019,September,0.41482022404670715
2019,October,0.5252414345741272
2019,November,0.2541411519050598
2019,December,0.09106510877609253
2020,January,0.3454403877258301
2020,February,0.06238209456205368
2020,March,0.2413078397512436
2020,April,0.6024785041809082
2020,May,0.12684471905231476
2020,June,0.5445874333381653
2020,July,0.3741183578968048
2020,August,0.18443915247917175
2020,September,0.6016526818275452
2020,October,0.31386318802833557
2020,November,0.0402730368077755
2020,December,0.18968333303928375
2021,January,0.18837100267410278
2021,February,0.23899465799331665
2021,March,0.40664154291152954
2021,April,0.11265068501234055
2021,May,0.06889042258262634
2021,June,0.04818191006779671
2021,July,0.29665812849998474
2021,August,0.1623447835445404
2021,September,0.4144169092178345
2021,October,0.47193172574043274
2021,November,0.20517872273921967
2021,December,0.2385423332452774
2022,January,0.17210763692855835
2022,February,0.22727270424365997
2022,March,0.4997836649417877
2022,April,0.4984534680843353
2022,May,0.7166076302528381
2022,June,0.06000427156686783
2022,July,0.2133798748254776
2022,August,0.3054106831550598
2022,September,0.7139527797698975
2022,October,0.2981847822666168
2022,November,0.6495996117591858
2022,December,0.11291780322790146
2023,January,0.11589111387729645
2023,February,0.07487845420837402
2023,March,0.04517683386802673
2023,April,0.621289849281311
2023,May,0.7513227462768555
2023,June,0.08650084584951401
2023,July,0.27811723947525024
2023,August,0.10296494513750076
2023,September,0.4428350329399109
2023,October,0.3467283844947815
2023,November,0.13447999954223633
2023,December,0.05259925127029419
